開始時間,結束時間,1位昵稱,2位昵稱,3位昵稱,4位昵稱,1位得分,2位得分,3位得分,4位得分,牌譜鏈接
2023.02.04,2023.02.04,吃货小飞飞,魔枪洛亚,佐仓沙耶加,逍遥散人,52.9,12.6,-7.6,-57.9,230204-205a0eff-143e-4c77-9a58-3331d09fed84
2023.02.04,2023.02.04,吃货小飞飞,炮手酵母,魔枪洛亚,佐仓沙耶加,63.9,7.3,-20.0,-51.2,230204-187bbe52-57c2-4365-bf7f-2d84864d2af5
2023.02.05,2023.02.05,梦幻情怀,四娃万岁,火龙果说电影,JK杀手,88.5,7.3,-17.2,-78.6,230205-f9bfe75a-b475-4d5d-adf8-8aaad671cf23
2023.02.05,2023.02.05,四娃万岁,狂狮周润发,JK杀手,白菜的可爱麻麻,61.1,9.3,-11.7,-58.7,230205-661bb9cd-8839-457d-8e58-6dd50bb31867
2023.02.08,2023.02.08,C・A,黒色叉腰大魔王,dys雀魂部部长,嘉俊1220,53.8,11.4,-19.0,-46.2,230208-72691ba6-bd47-41dd-afcb-359d70fcfcd3
2023.02.08,2023.02.08,悠雲葉月,dys雀魂部部长,黒色叉腰大魔王,您的橘,52.7,7.8,-15.4,-45.1,230208-70026688-842e-481b-98bd-be29b152fdd9
2023.02.09,2023.02.09,熊米熊,呆呆的彼尔德,多肉动物,天才麻将杏杏,87.2,14.4,-38.8,-62.8,230209-fdb8a9a5-35d7-4184-969b-8aac0d012104
2023.02.09,2023.02.09,熊米熊,天才麻将杏杏,多肉动物,呆呆的彼尔德,57.5,8.4,-15.0,-50.9,230209-ccfff382-12e4-4247-95f1-d9b7a62c8a3b
2023.02.11,2023.02.11,虎皮猫,白菜的可爱麻麻,火龙果说电影,越菜越要波,75.2,4.0,-17.0,-62.2,230211-647ca531-c239-4ccc-9076-2009ceaa7cd9
2023.02.11,2023.02.11,白菜的可爱麻麻,pane,虎皮猫,C・A,66.8,18.2,-21.2,-63.8,230211-25a02930-0f31-4b6b-b4e8-011ccf5db191
2023.02.12,2023.02.12,日麻高启强,姜姜QAQ,炮手酵母,唯有猫猫头,72.4,18.7,-33.4,-57.7,230212-c7d1cd1d-ba2a-4aeb-bcb1-b3c1d1469120
2023.02.12,2023.02.12,炮手酵母,姜姜QAQ,日麻高启强,唯有猫猫头,53.8,6.1,-14.5,-45.4,230212-1f041e59-bec8-4723-9682-a631eb39d0f0
2023.02.15,2023.02.15,昏睡兔兔,逍遥散人,C・A,抹茶冰淇淋红茶,55.9,12.3,-9.9,-58.3,230215-078bb192-a5da-450f-96f4-0e09aa243495
2023.02.15,2023.02.15,昏睡兔兔,悠雲葉月,朝倉康心,抹茶冰淇淋红茶,69.0,10.3,-20.0,-59.3,230215-4efd0586-7660-4bf6-8e05-e3718907d8b1
2023.02.16,2023.02.16,嘉俊1220,狂狮周润发,天才呆黑魔魔,Hikaru,82.9,4.7,-20.5,-67.1,230216-c0507879-ec29-44e5-a5f0-fd73ad20a53c
2023.02.16,2023.02.16,天才呆黑魔魔,狂狮周润发,梦幻情怀,Hikaru,51.9,8.8,-19.7,-41.0,230216-cb2d240c-9db5-4de4-8ca8-f00494a8e8f9
2023.02.18,2023.02.18,佐仓沙耶加,吃货小飞飞,您的橘,天才麻将杏杏,95.2,18.8,-42.1,-71.9,230218-2239f902-d18d-46c2-ad16-75ebb5e71595
2023.02.18,2023.02.18,越菜越要波,虎皮猫,您的橘,朝倉康心,59.4,8.0,-23.6,-43.8,230218-b5bee1fa-40ad-41dc-9205-2f81e5104492
2023.02.19,2023.02.19,dys雀魂部部长,唯有猫猫头,火龙果说电影,日麻高启强,55.8,10.2,-21.4,-44.6,230219-bc2cce6c-de82-424d-a565-42b2980f441b
2023.02.19,2023.02.19,dys雀魂部部长,火龙果说电影,唯有猫猫头,日麻高启强,72.6,13.7,-28.0,-58.3,230219-333257ef-c15f-4367-9fed-9967ad761375
2023.02.22,2023.02.22,四娃万岁,熊米熊,pane,逍遥散人,70.5,16.4,-32.0,-54.9,230222-264c0ca8-f67a-4c08-b249-f262fcab6e9e
2023.02.22,2023.02.22,pane,朝倉康心,四娃万岁,吃货小飞飞,58.9,10.9,-11.5,-58.3,230222-6fb48dc5-1251-4c23-9cdc-8f54ff34de51
2023.02.23,2023.02.23,嘉俊1220,胡乱思维的猫,C・A,JK杀手,62.8,21.5,-27.4,-56.9,230223-8f6e8545-775c-49aa-b3cb-aec0c16829fe
2023.02.23,2023.02.23,胡乱思维的猫,梦幻情怀,JK杀手,悠雲葉月,58.7,5.9,-14.4,-50.2,230223-ea01c10e-d868-4cc9-b1ca-adcb89c806ec
2023.02.25,2023.02.25,魔枪洛亚,姜姜QAQ,吃货小飞飞,您的橘,50.7,10.3,-18.0,-43.0,230225-7bdce206-bf66-4ece-9755-101fc5d8ee14
2023.02.25,2023.02.25,姜姜QAQ,梦幻情怀,虎皮猫,魔枪洛亚,83.7,10.2,-30.4,-63.5,230225-7913ae76-4750-4af9-8a54-05c1c870ba33
2023.02.26,2023.02.26,黒色叉腰大魔王,狂狮周润发,C・A,炮手酵母,51.0,6.0,-16.0,-41.0,230226-5e45bb4d-2549-4d29-8faf-b068f30676ba
2023.02.26,2023.02.26,pane,越菜越要波,炮手酵母,黒色叉腰大魔王,56.6,10.5,-20.8,-46.3,230226-b72179c6-253e-4bdd-aac4-287c83ab8808
2023.03.01,2023.03.01,嘉俊1220,姜姜QAQ,抹茶冰淇淋红茶,多肉动物,61.8,14.3,-23.6,-52.5,230301-9f84d7ba-8d8e-48e9-9c20-672d9f3ca441
2023.03.01,2023.03.01,姜姜QAQ,白菜的可爱麻麻,多肉动物,抹茶冰淇淋红茶,63.2,4.3,-23.4,-44.1,230301-f73d9cd0-4cae-4c3d-8cce-57ec59158396
2023.03.02,2023.03.02,逍遥散人,呆呆的彼尔德,JK杀手,悠雲葉月,65.7,24.2,-28.0,-61.9,230302-3c07d9f2-372c-4a7d-b5d0-b8a80920ad17
2023.03.02,2023.03.02,JK杀手,朝倉康心,呆呆的彼尔德,C・A,61.5,17.0,-27.8,-50.7,230302-c46a4290-8c7d-4801-b34f-5c4cb7f51ae6
2023.03.04,2023.03.04,佐仓沙耶加,火龙果说电影,天才麻将杏杏,黒色叉腰大魔王,58.2,9.6,-20.3,-47.5,230304-e2effb51-377e-4843-a728-c2a66b318c0b
2023.03.04,2023.03.04,天才麻将杏杏,越菜越要波,火龙果说电影,Hikaru,70.4,23.3,-29.7,-64.0,230304-7cef5aee-ef30-4c53-96be-5124f7f11cc8
2023.03.05,2023.03.05,胡乱思维的猫,昏睡兔兔,嘉俊1220,吃货小飞飞,74.2,19.7,-28.7,-65.2,230305-8ce400b7-4fbc-4deb-9d6b-c49b5ee0a503
2023.03.05,2023.03.05,熊米熊,您的橘,胡乱思维的猫,昏睡兔兔,66.8,11.8,-20.5,-58.1,230305-e5645226-0923-473e-9faa-9f9c8f92d0b9
2023.03.08,2023.03.08,C・A,吃货小飞飞,魔枪洛亚,黒色叉腰大魔王,69.0,12.1,-23.7,-57.4,230308-9b8e6533-ba70-49bf-8443-ef77b4ccc994
2023.03.08,2023.03.08,黒色叉腰大魔王,越菜越要波,多肉动物,熊米熊,91.0,3.5,-36.2,-58.3,230308-a3acef32-27c6-4210-ac30-3555087a5cb0
2023.03.09,2023.03.09,白菜的可爱麻麻,天才麻将杏杏,四娃万岁,狂狮周润发,51.7,9.1,-18.2,-42.6,230309-3b50db0b-43be-4302-85cf-43286144ffa7
2023.03.09,2023.03.09,朝倉康心,四娃万岁,白菜的可爱麻麻,pane,63.5,18.3,-22.7,-59.1,230309-4cb892cc-a3b3-4444-92e1-5d216b3a0c97
2023.03.11,2023.03.11,嘉俊1220,魔枪洛亚,佐仓沙耶加,呆呆的彼尔德,63.0,8.6,-18.3,-53.3,230311-043d3092-73e6-4d9b-8d4a-be8f3b894bb8
2023.03.11,2023.03.11,梦幻情怀,呆呆的彼尔德,越菜越要波,多肉动物,52.6,6.3,-19.3,-39.6,230311-f3931104-67fc-468e-96c9-3215ab451677
2023.03.12,2023.03.12,炮手酵母,姜姜QAQ,熊米熊,日麻高启强,59.7,9.2,-18.4,-50.5,230312-db031914-fc3d-4a43-b049-364d2b9e5da1
2023.03.12,2023.03.12,炮手酵母,姜姜QAQ,日麻高启强,虎皮猫,64.2,2.3,-21.0,-45.5,230312-fc3150d1-ef5d-4f55-8e6b-8eae43bae0e8
2023.03.15,2023.03.15,您的橘,JK杀手,逍遥散人,抹茶冰淇淋红茶,59.3,10.4,-20.3,-49.4,230315-7bc45f54-6316-4bd5-9f2c-d17d017f8ad7
2023.03.15,2023.03.15,天才麻将杏杏,JK杀手,抹茶冰淇淋红茶,您的橘,57.1,8.0,-20.5,-44.6,230315-bac410bf-d77f-4591-abda-1a69aef1cd97
2023.03.16,2023.03.16,四娃万岁,多肉动物,悠雲葉月,pane,82.6,6.2,-24.7,-64.1,230316-d265f988-2027-465e-8851-fb6f56fe1e17
2023.03.16,2023.03.16,四娃万岁,狂狮周润发,多肉动物,悠雲葉月,59.0,6.1,-19.1,-46.0,230316-0a4e03a9-4d75-421f-914a-5c43064b1385
